#####################[2017-07-11 09:56:38] begin to write log #########################
[07-11 09:56:38]:[NOTICE]:[h5api.cpp, InitApi, 531]: [h5api][pid: 8472][Lib Version: v1.0.16]
[07-11 09:56:38]:[NOTICE]:[h5api.cpp, InitApi, 576]: 业务处理线程最大消息积压个数:10000, 消息池内初始化消息个数为:5000.
[07-11 09:56:39]:[NOTICE]:[h5api.cpp, InitApi, 805]: h5api initialized successfully: config file[test.xml], market count 7!
[07-11 09:56:39]:[NOTICE]:[h5api.cpp, InitApi, 810]: 市场[0x101]与行情服务器建立连接...
[07-11 09:56:39]:[NOTICE]:[h5api.cpp, InitApi, 810]: 市场[0x102]与行情服务器建立连接...
[07-11 09:56:39]:[NOTICE]:[h5api.cpp, InitApi, 810]: 市场[0xd01]与行情服务器建立连接...
[07-11 09:56:39]:[NOTICE]:[h5api.cpp, InitApi, 810]: 市场[0x303]与行情服务器建立连接...
[07-11 09:56:39]:[NOTICE]:[h5api.cpp, InitApi, 810]: 市场[0x304]与行情服务器建立连接...
[07-11 09:56:39]:[NOTICE]:[h5api.cpp, InitApi, 810]: 市场[0x305]与行情服务器建立连接...
[07-11 09:56:39]:[NOTICE]:[h5api.cpp, InitApi, 810]: 市场[0x306]与行情服务器建立连接...
[07-11 09:56:40]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[07-11 09:56:40]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[07-11 09:56:40]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0xd01]与行情服务器进行重连...
[07-11 09:56:40]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x303]与行情服务器进行重连...
[07-11 09:56:40]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x304]与行情服务器进行重连...
[07-11 09:56:40]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x305]与行情服务器进行重连...
[07-11 09:56:40]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x306]与行情服务器进行重连...
[07-11 09:56:42]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[07-11 09:56:43]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[07-11 09:56:43]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0xd01]与行情服务器进行重连...
[07-11 09:56:43]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x303]与行情服务器进行重连...
[07-11 09:56:43]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x304]与行情服务器进行重连...
[07-11 09:56:43]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x305]与行情服务器进行重连...
[07-11 09:56:43]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x306]与行情服务器进行重连...
[07-11 09:56:44]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[07-11 09:56:45]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[07-11 09:56:45]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0xd01]与行情服务器进行重连...
[07-11 09:56:45]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x303]与行情服务器进行重连...
[07-11 09:56:45]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x304]与行情服务器进行重连...
[07-11 09:56:45]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x305]与行情服务器进行重连...
[07-11 09:56:45]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x306]与行情服务器进行重连...
[07-11 09:56:47]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[07-11 09:56:47]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[07-11 09:56:47]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0xd01]与行情服务器进行重连...
[07-11 09:56:47]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x303]与行情服务器进行重连...
[07-11 09:56:47]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x304]与行情服务器进行重连...
[07-11 09:56:47]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x305]与行情服务器进行重连...
[07-11 09:56:47]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x306]与行情服务器进行重连...
[07-11 09:56:49]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[07-11 09:56:49]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[07-11 09:56:49]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0xd01]与行情服务器进行重连...
[07-11 09:56:49]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x303]与行情服务器进行重连...
[07-11 09:56:49]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x304]与行情服务器进行重连...
[07-11 09:56:49]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x305]与行情服务器进行重连...
[07-11 09:56:49]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x306]与行情服务器进行重连...
[07-11 09:56:51]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[07-11 09:56:51]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[07-11 09:56:51]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0xd01]与行情服务器进行重连...
[07-11 09:56:51]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x303]与行情服务器进行重连...
[07-11 09:56:51]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x304]与行情服务器进行重连...
[07-11 09:56:51]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x305]与行情服务器进行重连...
[07-11 09:56:51]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x306]与行情服务器进行重连...
[07-11 09:56:53]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[07-11 09:56:53]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[07-11 09:56:53]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0xd01]与行情服务器进行重连...
[07-11 09:56:53]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x303]与行情服务器进行重连...
[07-11 09:56:53]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x304]与行情服务器进行重连...
[07-11 09:56:53]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x305]与行情服务器进行重连...
[07-11 09:56:53]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x306]与行情服务器进行重连...
[07-11 09:56:55]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[07-11 09:56:55]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
[07-11 09:56:55]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0xd01]与行情服务器进行重连...
[07-11 09:56:55]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x303]与行情服务器进行重连...
[07-11 09:56:55]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x304]与行情服务器进行重连...
[07-11 09:56:55]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x305]与行情服务器进行重连...
[07-11 09:56:55]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x306]与行情服务器进行重连...
[07-11 09:56:57]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x101]与行情服务器进行重连...
[07-11 09:56:57]:[NOTICE]:[market.cpp, CMarket::OnCore, 382]: 市场[0x102]与行情服务器进行重连...
