datetime	trade	bid	ask
736935.903870	100.000000	99.995000	100.000000
736935.904564	100.000044	100.000044	100.005044
736935.905259	100.000348	100.000348	100.005348
736935.905953	99.999787	99.999787	100.004787
736935.906648	100.000073	100.000073	100.005073
736935.907342	100.000204	100.000204	100.005204
736935.908037	99.999556	99.999556	100.004556
736935.908731	99.999305	99.999305	100.004305
736935.909425	99.999531	99.999531	100.004531
736935.910120	100.002194	100.002194	100.007194
736935.910814	100.004483	100.004483	100.009483
736935.911509	100.003256	100.003256	100.008256
736935.912203	100.006267	100.006267	100.011267
736935.912898	100.007047	100.007047	100.012047
736935.913592	100.006974	100.006974	100.011974
736935.914287	100.007860	100.007860	100.012860
736935.914981	100.007589	100.007589	100.012589
736935.915675	100.007414	100.007414	100.012414
736935.916370	100.009631	100.009631	100.014631
736935.917064	100.011845	100.011845	100.016845
736935.917759	100.014188	100.014188	100.019188
736935.918453	100.015354	100.015354	100.020354
736935.919148	100.013158	100.013158	100.018158
736935.919842	100.014522	100.014522	100.019522
736935.920537	100.017757	100.017757	100.022757
736935.921231	100.018768	100.018768	100.023768
736935.921925	100.020992	100.020992	100.025992
736935.922620	100.022615	100.022615	100.027615
736935.923314	100.021912	100.021912	100.026912
736935.924009	100.022617	100.022617	100.027617
736935.924703	100.020664	100.020664	100.025664
736935.925398	100.022941	100.022941	100.027941
736935.926092	100.019906	100.019906	100.024906
736935.926787	100.016990	100.016990	100.021990
736935.927481	100.014714	100.014714	100.019714
736935.928175	100.006194	100.006194	100.011194
736935.928870	100.010475	100.010475	100.015475
736935.929564	100.011470	100.011470	100.016470
736935.930259	100.009098	100.009098	100.014098
736935.930953	100.013516	100.013516	100.018516
736935.931648	100.007856	100.007856	100.012856
736935.932342	100.007509	100.007509	100.012509
736935.933037	100.006671	100.006671	100.011671
736935.933731	100.007806	100.007806	100.012806
736935.934425	100.008944	100.008944	100.013944
736935.935120	100.005726	100.005726	100.010726
736935.935814	100.005612	100.005612	100.010612
736935.936509	100.004971	100.004971	100.009971
736935.937203	100.007462	100.007462	100.012462
736935.937898	100.011891	100.011891	100.016891
736935.938592	100.016477	100.016477	100.021477
736935.939287	100.012835	100.012835	100.017835
736935.939981	100.013168	100.013168	100.018168
736935.940675	100.007848	100.007848	100.012848
736935.941370	100.002876	100.002876	100.007876
736935.942064	100.002845	100.002845	100.007845
736935.942759	100.009941	100.009941	100.014941
736935.943453	100.006314	100.006314	100.011314
736935.944148	100.008095	100.008095	100.013095
736935.944842	100.006995	100.006995	100.011995
736935.945537	100.012538	100.012538	100.017538
736935.946231	100.007045	100.007045	100.012045
736935.946925	100.007212	100.007212	100.012212
736935.947620	100.010090	100.010090	100.015090
736935.948314	100.015914	100.015914	100.020914
736935.949009	100.024214	100.024214	100.029214
736935.949703	100.024683	100.024683	100.029683
736935.950398	100.016419	100.016419	100.021419
736935.951092	100.012245	100.012245	100.017245
736935.951787	100.006189	100.006189	100.011189
736935.952481	100.019793	100.019793	100.024793
736935.953175	100.016179	100.016179	100.021179
736935.953870	100.020633	100.020633	100.025633
736935.954564	100.019471	100.019471	100.024471
736935.955259	100.024909	100.024909	100.029909
736935.955953	100.020165	100.020165	100.025165
736935.956648	100.011353	100.011353	100.016353
736935.957342	100.002298	100.002298	100.007298
736935.958037	100.005446	100.005446	100.010446
736935.958731	100.004288	100.004288	100.009288
736935.959425	100.002991	100.002991	100.007991
736935.960120	100.012496	100.012496	100.017496
736935.960814	100.014473	100.014473	100.019473
736935.961509	100.015831	100.015831	100.020831
736935.962203	100.026859	100.026859	100.031859
736935.962898	100.021204	100.021204	100.026204
736935.963592	100.026158	100.026158	100.031158
736935.964287	100.032166	100.032166	100.037166
736935.964981	100.030393	100.030393	100.035393
736935.965675	100.031980	100.031980	100.036980
736935.966370	100.023303	100.023303	100.028303
736935.967064	100.014666	100.014666	100.019666
736935.967759	100.015463	100.015463	100.020463
736935.968453	100.021017	100.021017	100.026017
736935.969148	100.041116	100.041116	100.046116
736935.969842	100.035876	100.035876	100.040876
736935.970537	100.037363	100.037363	100.042363
736935.971231	100.036702	100.036702	100.041702
736935.971925	100.021036	100.021036	100.026036
736935.972620	100.017443	100.017443	100.022443
